iSE_pos0_x,iSE_pos0_y,iSE_pos1_x,iSE_pos1_y,iSE_pos2_x,iSE_pos2_y,iSE_pos3_x,iSE_pos3_y,iSE_pos4_x,iSE_pos4_y,Goal_pos0_x,Goal_pos0_y,Goal_pos1_x,Goal_pos1_y,Goal_pos2_x,Goal_pos2_y,Goal_pos3_x,Goal_pos3_y,Goal_pos4_x,Goal_pos4_y,Goal_goal_x,Goal_goal_y
1.257674,1.331837,1.257181,1.322683,1.304815,1.307309,1.340859,1.287979,0.036257,-0.009378,-0.126035,0.355137,-0.150946,0.319982,-0.186915,0.276525,-0.232555,0.225817,-0.165452,-0.175633,1.727402,1.218349
1.547171,1.472162,1.437740,1.424418,1.352960,1.371928,1.350508,1.330802,0.036838,-0.009079,0.082686,0.469682,0.029982,0.425685,-0.030285,0.374542,-0.096999,0.317183,-0.165604,-0.175702,1.719820,1.214921
1.570726,1.736680,1.526060,1.633820,1.426510,1.510416,1.347600,1.412969,0.036773,-0.008578,0.080451,0.707201,0.045400,0.632162,0.000614,0.553661,-0.052737,0.472380,-0.165544,-0.175961,1.722792,1.201972
2.101759,1.343415,1.927872,1.440607,1.716077,1.476296,1.517223,1.435216,0.037837,-0.009460,0.580925,0.353274,0.469107,0.360568,0.356442,0.354752,0.243583,0.336963,-0.166384,-0.175212,1.680814,1.239411
2.329839,1.267859,2.193900,1.338560,1.976901,1.438023,1.739490,1.475062,0.038101,-0.009474,0.830329,0.272104,0.695672,0.304076,0.562234,0.320639,0.430534,0.322984,-0.166691,-0.175080,1.665461,1.245994
2.382120,1.333919,2.326177,1.324498,2.191951,1.368701,1.975970,1.452421,0.038091,-0.009318,0.944777,0.280973,0.812906,0.319958,0.681355,0.343396,0.550663,0.352419,-0.166636,-0.175231,1.668201,1.238467
2.167385,1.729898,2.221779,1.589622,2.240842,1.460586,2.151178,1.433723,0.037663,-0.008634,0.796291,0.606036,0.709251,0.601057,0.617248,0.585861,0.521039,0.561269,-0.165794,-0.176375,1.710285,1.181274
2.322333,2.023988,2.285890,1.884129,2.284854,1.671712,2.270987,1.499818,0.037969,-0.008236,0.947261,0.891182,0.855324,0.852853,0.758772,0.808105,0.658311,0.757545,-0.166028,-0.177353,1.698589,1.132371
2.440530,1.921504,2.375794,1.923727,2.314347,1.830760,2.298458,1.646200,0.038102,-0.008487,1.040842,0.856648,0.953205,0.834965,0.860354,0.805281,0.762987,0.768243,-0.166054,-0.177110,1.697306,1.144503
2.173588,2.191173,2.243332,2.113466,2.270817,2.025917,2.264154,1.879619,0.037625,-0.008022,0.783517,1.165073,0.749408,1.110548,0.704650,1.051509,0.650144,0.988418,-0.164703,-0.178287,1.764873,1.085638
2.140949,1.950593,2.188936,1.989401,2.251503,2.006046,2.274724,1.974546,0.037661,-0.008496,0.725340,0.979400,0.713690,0.961649,0.689432,0.935826,0.653508,0.902522,-0.164358,-0.177285,1.782076,1.135756
2.187675,1.880543,2.183505,1.919006,2.211593,1.972583,2.262340,1.998002,0.037758,-0.008568,0.710263,0.932587,0.713872,0.930784,0.703777,0.919625,0.680917,0.899728,-0.164299,-0.177033,1.785053,1.148372
1.989162,1.861935,2.050067,1.876860,2.110234,1.917045,2.176540,1.971645,0.037453,-0.008576,0.465430,0.904198,0.512208,0.914908,0.541680,0.915414,0.554888,0.906335,-0.163224,-0.176937,1.838800,1.153170
2.290666,2.270968,2.220830,2.140115,2.173427,2.024988,2.169260,1.987922,0.037952,-0.007977,0.687686,1.268642,0.717802,1.243162,0.732783,1.211165,0.733538,1.173101,-0.164648,-0.178849,1.767612,1.057555
2.388472,2.386545,2.329814,2.303950,2.241677,2.157679,2.183404,2.033393,0.038034,-0.007908,0.746376,1.399573,0.780157,1.367786,0.799012,1.330232,0.803800,1.287308,-0.165187,-0.179427,1.740637,1.028634
2.450764,2.267577,2.420293,2.294205,2.346760,2.254774,2.249788,2.134141,0.038099,-0.008096,0.809397,1.346128,0.846069,1.329558,0.868096,1.306027,0.876289,1.275960,-0.165786,-0.179007,1.710694,1.049664
2.699032,2.159770,2.613129,2.211071,2.506765,2.264112,2.388154,2.240368,0.038422,-0.008208,1.059924,1.280944,1.078383,1.280029,1.084303,1.271016,1.078380,1.254353,-0.167444,-0.178599,1.627816,1.070030
